question,answer
"What are the steps to enable OTP for Ebiz login?","To enable OTP for Ebiz login, follow these steps: 1. Navigate to the 'Administration Module'. 2. Go to 'Parameter' and select 'Ebusiness'. 3. Choose the 'Ebiz Login OTP Pin Option'. 4. Read the explanation provided and select the appropriate setting."
"How can I review trading activities and find the last login date for DMA customers?","To review trading activities and find the last login date for DMA customers, follow these steps: 1. Check the FIX Activity Report and the FIX Rejected/Cancelled Report for trading activities. 2. To find the last login date for DMA customers, navigate to the Maintain Module. 3. Go to 'Customer' and select 'Popular Activities'. 4. Choose 'Customers that use the E-business suite' and generate the report from there."
"How can I grant agent involvement to a customer and profile customers under the agent?","To grant agent involvement and profile customers under the agent, follow these steps: 1. Navigate to Maintain. 2. Go to Customer and call up the customer profile. 3. Click on Involvement and select Add Agent Involvement. 4. To profile customers under the agent and set the agent percentage, navigate to Stock Brokerage. 5. Go to Trade/OMS and select Agent. 6. Choose the customer, fill in the required details, and add the customers under the agent."
"How do I add customers under an agent's profile?","Navigate to 'Maintain >> Customer Group Ebiz'. Enter the agent's Cust AID. Add the customers under the agent's profile."
"To determine whether a customer is a DMA Customer, follow these steps:","1. Click on OPS/Maintain Module. 2. Click on Customer Group Management. 3. On the Right Hand Side (DMA) group, expand the filter column, filter by CustAID, and input the customer ID. 4. If the customer is not present, proceed to the next step. 5. On the Left Hand Side (Customer not in DMA), expand the filter column, filter by CustAID, and input the customer ID. 6. If the customer is present in this list, it confirms that the customer is not a DMA Customer."
"To temporarily disable the E-guard due to the client portal's inability to send out E-guard emails, follow these steps:","1. Navigate to the Administration module. 2. Select Parameter and click on Ebuusianess. 3. Scroll down to locate the E-Guard setting. 4. Disable the E-Guard."
"How do I resolve the issue with the inability to upload trade files on IDIA ERP?","To resolve the issue, follow these steps: 1. Navigate to the Administration Module. 2. Go to the Parameters Menu. 3. Select Global Parameters. 4. Find and choose 'Data Import: Use ACE OLEDB Provider' and set it to Yes."
"How do I add a user to the Account group under Group Membership?","To add a user to the Account group under Group Membership, follow these steps: 1. Navigate to the Security module. 2. Go to Security. 3. Select Group Membership. 4. Choose the desired group. 5. Select the user you want to add from the left side and click the Add button. 6. Save your changes. 7. The user will automatically receive all the permissions assigned to that group."
"What are the steps to create account officers in the application?","To create account officers on the application, follow these steps: 1. Click on 'OPS/Maintain Module'. 2. Click on 'Officers Menu'. 3. Fill in the required information. 4. Check or uncheck the 'Confirmed' box as needed. Checking this box includes the Account Officer in the 'Prepared By' and 'Checked By' drop-down list on the Contract Note."
"What should I do to delete an account officer from the application?","To delete an account officer from the application, follow these steps: 1. Go to the 'Officers Menu' in the 'OPS/Maintain Module'. 2. Click on 'Find' to search for the account officer. 3. Select the account officer by clicking 'OK'. 4. Click on 'Delete'."
"How can I fix the error encountered during Export?","To resolve the error encountered during Export, follow these steps to deploy a build update: 1. Log in to the IMDT Tool. 2. Toggle to 'Launch Deployment'. 3. With the Server set to Ebiz Server, search for and select the deployment by client name. 4. On 'Select File from FTP', choose the latest build, input the remark, and click 'Deploy'. 5. Repeat steps 3 and 4 for the IDIA Server. 6. Toggle to 'Schema Deployment'. 7. Search for and select the deployment by client name. 8. On 'Select File from FTP', choose the latest build, input the remark, and click 'Deploy'."
"The missing Service Sub menu of the Financial module was actually moved to the Asset Management module. What steps should be taken to correct this?","To move the Service Sub menu from the Asset Management module back to the Financial module, follow these steps: 1. Log in to the application. 2. Click on the 'Administration' module button. 3. Click on the 'Personalization' menu button. 4. Click on the 'SubMenu to Menu - Association' button. 5. Select the 'Asset Mgmt' menu from the dropdown on the right section of the 'SubMenu to Menu - Association' form. 6. Select the 'Service Menu' from the display list on the right section of the form. 7. Click on the 'Remove' button. 8. Click on the 'Save' button. 9. Now, the Service Sub menu will be displayed in the Financial module. 10. Repeat steps 5-9 for any other missing submenus that have been moved to the Asset Management module."
"Please outline the steps required to assign permissions to a user account (RIS5).","To assign the required permissions to the user account (RIS5), follow these steps: 1. Click on the 'Security Module'. 2. Click on 'Security Permissions Menu'. 3. Input the User ID (RIS5) and press Tab. 4. Click on 'ADD'. 5. Select the type of access (e.g., 'Full Access'). 6. From the dropdown menu, select the desired menu and click 'ADD'. 7. Click 'OK'. 8. Click 'Save'."
"I want to add a customer to the DMA (Direct Market Access) group.","1. Click on 'Maintain Module'. 2. Click on 'Customer Group Management'. 3. On the screen, locate the 'Customer Group' on the right and the list of customers on the left. 4. Find the customer you want to add from the list on the left. 5. Click on the customer to select it. 6. Click on 'Add' to move the customer to the DMA group. 7. Click 'Save' to finalize and apply the changes."
"How do I use the Ebiz Password Reset Menu to send credentials to a customer?","1. Navigate to the 'Ebiz Password Reset Menu' in the Security Module. 2. Input the Customer ID (which is also the Username) into the designated field. 3. Tab out to ensure the Customer ID is recognized by the system. 4. Check the 'Send Email Alert' box to ensure an email alert will be sent. 5. Click 'Send' to initiate the password reset process. 6. The customer will receive an email alert containing the password reset steps and credentials."
"Please how do I change an account officer and add an account officer to a client on Infoware?","1. Click on 'Maintain'. 2. Click on 'Customers'. 3. Input the Customer ID and tab out. 4. Click on the 'Account Officer' drop-down menu. 5. Select the desired account officer from the list. 6. Click 'Save' to apply the changes."
"Can I get a list of all users on Infoware and their account officers, and save it in PDF or Excel format?","1. Click on 'Maintain Module'. 2. Click on 'Customers'. 3. Click on 'Find'. 4. Click on 'Search'. 5. When the full customer list is displayed, click on 'Export' to save the list in PDF or Excel format."
"How do I configure receipt parameters after the client provides the Accounts GL?","Click on 'Financials Module'. Click on 'Cash Menu'. Click on 'Receipt Params'. Select the Accounts GL. Click 'Save'."
"How do I onboard a customer on the application?","Click on Maintain Module Click on Customers Click on Customer Information Click on New Fill in all the required details Click on SAVE"
"Can you outline the process to obtain the CSCS Account for a customer?","Navigate to Maintain Module. Select the CSCS KYC Menu. Choose CSCS - Account Export to CSCS. Select the customer by checking the box next to their information or use the Select All option if dealing with multiple customers. Click on Submit. Proceed to CSCS - Account Import from CSCS. Click on Import to complete the process."
"How do I enable Data Import to use the ACE OLEDB Provider?","Access the Administration Module. Click on Parameters. Select System Parameters. Choose Global Parameters. Find Data Import: use ACE OLEDB Provider. Enable it by setting the option to Yes."
"How do I upload the updated reconciliation file into the system?","To upload the updated reconciliation file into the system, follow these steps: 1. Navigate to Stockbrokerage. 2. Go to Trade/OMS. 3. Select CSCS Reconciliation. 4. Upload the updated reconciliation file. 5. Ensure you select the date that matches the date on the Reconciliation file. 6. Confirm the upload to complete the process."
"How do I upload the Portfolio into the system?","To upload the Portfolio into the system, follow these steps: 1. Navigate to Administration. 2. Go to Data Import. 3. Toggle to Portfolio Balances. 4. Click on Attach File. 5. Select the file you wish to upload. 6. Click on Upload."
"What steps are needed to perform a requery on the client portal?","To perform a requery on the client portal, follow these steps: 1. Log in to the client portal using admin credentials and switch to the client account. 2. On the client portal page, click on 'Deposit Fund' and select 'View Payment Status'. 3. In the Action column, click on 'Requery'."
"Kindly educate on how to generate the 'Customer Valuation Statement' from our Loan module platform.","To generate the 'Customer Valuation Statement' report, follow these steps: 1. Launch the application. 2. Navigate to the Report module. 3. Click on the 'Business_Intelligence_Reports' menu. 4. Scroll down to the 'PFO Financials Report' category. 5. Select and launch the 'Customer Valuation Statement' report. 6. Enter the report parameters and generate the report."
"How can I generate the customer statement report?","If you wish to generate the customer statement report, please follow these steps: 1. Launch the application. 2. Click on 'Report.' 3. Select 'Account' and scroll down to the customer statement report. 4. Launch the report, enter the required parameters, and generate the report."
"How do I proceed with the liquidation for the current transaction in the application?","To proceed with the liquidation for the current transaction, follow these steps: 1. Launch the application and navigate to the 'Asset Management' module. 2. Click on the 'Investment' menu. 3. Select the 'Liquidation' submenu. 4. Click on 'Find' to search for the transaction. 5. Click on 'Liquidate' to complete the process."
"Can you provide detailed steps for searching for a customer ID when I am booking an investment?","To search for a customer ID when booking an investment, follow these steps: 1. Launch the application. 2. Click on the 'Asset mgmt.' menu. 3. Select the Product. 4. Click on the green arrow to search for an account. If you know the customer ID, you can input it directly into the field and press Tab; the system will automatically fetch the account.  If you do not know the customer ID: 1. Click on the arrow; a pop-up will appear. 2. In the pop-up, you will see some form fields. 3. Filter by the client's name and click 'OK'."
"What are the steps to update the login information for users who are no longer with the company?","To update the login information for users who are no longer with the company, follow these steps: 1. Launch the application. 2. Navigate to the security module. 3. Access the 'Add/Update Security' menu. 4. Select the user by clicking the button next to the Login ID text box. 5. Update the user's details with the information for the new user. 6. Click 'Save' to apply the changes."
"Could you outline the procedure for reconciling in the application?","To reconcile in the application, follow these steps: 1. Launch the web application and navigate to the 'Stock Brokerage' menu. 2. Click on the 'Trading Account' menu and then select the 'Reconcile' submenu. 3. Click the 'Reconcile' button at the top left corner."
"Can you provide the steps for creating an account officer and adding them to a group?","To create an account officer and add them to a group, follow these steps: 1. Navigate to the Maintain module. 2. Open the Officer form. 3. Input all necessary details and save the new officer information. 4. Return to the Off to Acct grp form. 5. Add the newly created officer to the appropriate group."
"Could you outline the procedure for reversing a booked transaction?","To reverse a booked transaction, follow these steps: 1. Launch the application. 2. Navigate to the Asset Management module. 3. Click on Investment Fund Reversed Approved. 4. Click on Find and select the investment you want to reverse. 5. Click on Reverse."
"How can I initiate a password reset for a customer from the application?","To initiate the password reset from the application, follow these steps: 1. Click on the Security Module. 2. Select the Ebiz Reset Password option. 3. Input the Customer# (customer number) and click on Reset."
"Where can I find and set the session timeout settings in the application?","To find and set the session timeout settings in the application, follow these steps: 1. Click on the Administration Module. 2. Select Parameters. 3. Click on System Parameters. 4. Click on Application Configuration. 5. Double-click on 'IDIA ERP UX Idle Timeout in Minutes' and set the desired timeout minutes."
"The customer was not using the right menu. The customer was looking for the treasury bill on the placement menu.","Guide the customer to use the Treasury Bill Placement Menu. Instruct them to click on Asset Management Module. Advise them to select Treasury Bill Placement Menu. Direct them to click on Treasury Bill Approval."
"Steps required to reverse a placement.","Click on Placement Module. Click on Placement Reversal. Find the placement and click on Reverse."
"How to change a customer's email in the CRM?","Log in to CRM. Go to 'OPS/MAINTAIN'. Call up the customer and edit the email."
"Procedure for reviewing the New customer creation Alert.","Click on 'BI & Dashboard Module'. Click on 'Alerts Menu'. Click on 'Find' and call up 'New customer creation Alert'. Expand the 'Send To' drop-down to find the recipient of the alert."
"What are the steps to create a mutual fund and what actions are yet to be completed?","1. Create branch code for the Fund. 2. Create a customer for the fund. 3. Import COA. 4. Create the control account of the fund and configure the involvement. 5. Create the Fund.  Actions yet to be done to complete the setup: 6. Configuration of the instrument type of the Assets. 7. Mapping of the GL accounts to the Fund."
"Procedure for finding a customer ID in journal entries.","1. Launch the application. 2. Click on the 'Financial GL' menu. 3. Open 'GL Journal Entries'. 4. Click on 'New'. 5. Click on the green arrow to search for an account. If you know the customer ID, input it directly in the field and tab out; the system will automatically fetch the account.  If you do not know the customer ID: 6. Click on the arrow; a pop-up will appear. 7. In the pop-up, you will see some form fields. 8. Filter by the client's name and click 'OK'."
"Steps to grant clients access to view 'Cash statement and Valuation statement'.","1. Log in to their Ebiz account. 2. Click on the 'Investment' menu. 3. They will see the following reports: 'Investment History,' 'Account Statement,' and 'Investment Holdings.' They should select any of these options to view the details."
"How can I view the report of all subscribers per stock?","1. Click on 'Report Module'. 2. Click on 'Business Intelligent Report'. 3. Expand 'Capital Market' Category. 4. Launch 'Total Stock Position' report."
"I want to spool the fund register of a fund/portfolio.","1. Click on 'Report Module'. 2. Click on 'Business Intelligent Report'. 3. Expand 'Portfolio Management' Category. 4. Click on 'Fund Register' and launch the report. 5. Input the parameters and view the report."
"How do I view the fixed asset register?","1. Click on 'Report Module'. 2. Expand the 'Account' Category. 3. Click on 'Fixed Asset: List of Registered Asset Items' report and launch it. 4. Input the required parameters and view the report."
"To perform depreciation on a fixed asset, follow these steps:","1. Click on Financial Module. 2. Click on the Fixed Assets Menu. 3. Click on the Depreciation form. 4. Select the end of the month that you want to run the depreciation on and click on Post. 5. The system will post the depreciated amount between the Accumulated Depreciation and Expense ledger."
"How do I view and export the report?","1. Click on Report Module. 2. Click on Reports - IDIA Business Intelligence on the web (https://idia.infowarelimited.com/IDIAERP/VETIVAFUNDMGR/IWIDIA/Business_Intelligence_Reports2). 3. Expand the Adhoc - Customer Report category. 4. Click on Mutual Fund Subscription Schedule with Referral Report and Launch. 5. Input the parameters and view the report. 6. To export the report, expand Advanced Settings and click on Export."
"How do I reset the server password?","1. Launch the server management application. 2. Navigate to User Administration. 3. Select the appropriate user or server. 4. Click on reset password."
"Here's how you can grant access to a user:","1. Open the application. 2. Go to the 'Security' section. 3. Select the 'Security Permissions' form. 4. In the form, make sure 'Users' is selected. Use the dropdown menu next to 'User/Group' to find the user you want to grant access to. 5. Click 'Add' at the bottom. This will open a new window. 6. In the new window, search for 'Investment Fund - Breakage Approval.' 7. Choose 'Full Access' from the 'Type of Access' dropdown menu, click 'ADD,' and then click 'OK.' 8. Finally, click 'Save' to apply the changes."
"Kindly follow these steps to add a new account officer in the Maintain - Customers module:","1. Click on the Ops/Maintain module. 2. Click on the Officers Menu. 3. Enter the account officer’s details and check the 'Confirmed' box. 4. Note that the 'loginSID' is not required if the officer does not have sign-in credentials."
"How do I generate a Customer Statement Report?","To generate a Customer Statement Report, follow these steps: 1. Launch the application. 2. Navigate to the Reporting Module. 3. Click on the account category. 4. Select the Customer Statement Report. 5. Input the parameters and launch the report."
"What steps should I follow to access the GL Transaction Report?","To access the GL Transaction Report, follow these steps: 1. Launch the application. 2. Navigate to the Report Menu. 3. Click on Business Intelligence Report. 4. Click on the arrow in the Account Category for reports. 5. Scroll down and locate the GL Transaction Report. 6. Launch the report and include your report parameters."
"What steps are involved in adjusting the fee for an account?","The following steps were taken to configure the fee: 1. Navigate to Stock Brokerage. 2. Go to the Trade/OMS Menu. 3. Select Fee Set Up."
"What is the process to reverse a placement?","To reverse a placement, follow these steps: 1. Click on the Asset Management module. 2. Click on the Placement Menu. 3. Click on the Placement Reverse form. 4. Click on Find and search to call up the placement and click on Reverse."
"What are the steps to spool the Cash Receipts and Payment Report?","To spool the Cash Receipts and Payment Report, follow these steps: 1. Open the application and navigate to the Reports section. 2. Click on Business Intelligence Report. 3. Click on the dropdown for the account category, scroll down, and select 'Cash Receipts and Payment Report.' 4. Input the parameters and launch the report."
"What are the steps to generate the Customer Balances Report?","To generate the Customer Balances Report, follow these steps: 1. Open the application and navigate to the Reports section. 2. Click on Business Intelligence Report. 3. Click on the dropdown and select 'Customer Balances Report.' 4. Input the parameters and click on Launch."
"How can I update the name of a Master account?","To update the name of a Master account, follow these steps: 1. Click on Financial Module. 2. Click on Accounts Setup Menu. 3. Click on New Account Setup form. 4. Input the account number under Account# and tab out. 5. Edit the name of the Ledger under the description field and save. 6. The system will ask if you want to overwrite the existing record; click on Yes and Yes to the subs under. 7. Save."
"How can I update the name of a Sub account?","To update the name of a Sub account, follow these steps: 1. Click on Financial Module. 2. Click on Accounts Setup Menu. 3. Click on New Account Setup form. 4. Input the account number under Account# and tab out. 5. Click on LOAD SUB ACCOUNT. 6. Input the Sub account number under Sub A/C and tab out. 7. Edit the name of the account. 8. Save."
"How do I process a reversal for an existing or running investment?","To process a reversal for an existing or running investment, follow these steps: 1. Log in to the application. 2. Navigate to the Asset Management module and click on the Investment menu. 3. Click on Investment Creation Reversed. 4. Click on Find and a pop-up will appear. 5. You will see three form boxes above the search button. In the first box, select 'Trans' from the dropdown, in the next box select 'Contains,' and in the final box, input the customer's first or last name. The system will filter the transactions based on the name provided. 6. You can also click the Plus button beside the search to add another filter box. This time, you can filter by either the commencement date or the amount following the same pattern. 7. Once done, select the transaction you want to reverse and click OK. 8. On the Investment Creation Reversal screen, click on Reverse."
"How do I generate a Customer Statement report?","Login to the application. Click on the Report module. Click on the Business Intelligence Report menu. Click on the arrow drop-down to view the reports in the Account category. Scroll down the category and you will see the 'Customer Statement' report. Launch the report and input the report parameters, then spool."
"How do I reset a password in the InfoWARE Client Administrator?","1. Log in to the RDP. 2. Toggle to Other Applications >> InfoWARE Client Administrator. 3. Click on the desired host admin and select Reset Password. 4. Input the new password, confirm it, and Save."
"How do I set an Account Overdrawn Limit for a customer?","To set an Account Overdrawn Limit for a customer, follow these steps: Navigate to Financials. Go to Services. Select Customer Overdrawn Limit. Find the customer, input the limit and date. Click Save."
"How do I update the Automated happy birthday message to include the customer's name?","To ensure the birthday message includes the customer's name, follow these steps: Navigate to BI and Dashboard >> Alert Call up the birthday alert Change the placeholder on the mail template from '{CustomerName}' to '{Name}'"
"How do I include additional email addresses to receive alerts for new customer account creations?","To confirm and include email addresses for new customer creation alerts, follow these steps: Click on BI & Dashboard >> Alerts Click on Find and locate the 'New Customer Creation Alert' Click on OK Expand the 'Send To' section to see the Account Officer Group it's sending to"
"Kindly guide on how to modify existing commission rate for clients on Infoware.","To modify the existing commission rate for clients on Infoware, follow these steps: 1. Click on Grad Commission Rates. 2. Click on ADD GROUP. 3. In the display window, type in the name of the new Commission Group. 4. Input the Account ID for both Buy & Sell (The Brokerage Commission Ledger for both Buy & Sell). 5. Input the Asset Class (So the system knows the Asset Class you are creating the commission against). 6. Input the Min & Max Value (This is not compulsory). 7. Input the Fixed Amount & Part Per Mill (This is not compulsory). 8. Click on SAVE. 9. Click on Group List and scroll down to see the newly created group in the dropdown. 10. Click on NEW. 11. In the row that gets inserted (Note: From the Account ID downwards would have been pre-populated based on the information you inputted), configure Grad. Commission: 12. Input 'Up To' under the ROWNAME Column. 13. Input the Consideration Amount. 14. Input the Percent you intend to charge for both BUY & SELL RATES (e.g., Transactions below 99,999 charge 1.35%). 15. Click on SAVE to update the database with the information. 16. Click on the NEW Button once again. 17. For the second row inserted, input 'NEXT' under the ROWNAME Column. 18. Input the Consideration Amount. 19. Input the Percent you intend to charge for both BUY & SELL RATES (e.g., Transactions above 100,000 charge 1.00%). 20. Click on SAVE."
"I need to get an account out of dormancy. What should I do?","To remove an account from dormancy, please follow these steps: 1. Navigate to the Financial Module. 2. Go to New Account Setup. 3. Click on Acct. Dormancy. 4. Call up the account and change the dormancy status to 'Not Dormant'. 5. Click Save."
"Please outline the steps to reset credentials for a user account.","To reset the credentials for a user account, follow these steps: 1. Navigate to the relevant module for account management. 2. Access the password change or reset menu. 3. Enter the User ID and proceed. 4. Input and confirm the new password in the provided fields. 5. Save the changes."
"Could you provide a general overview of the process for assigning permissions to a user account?","To assign the required permissions to a user account, follow these steps: 1. Navigate to the security or permissions management module. 2. Access the menu for managing user permissions. 3. Enter the User ID and proceed. 4. Add a new permission entry. 5. Select the type of access you wish to assign. 6. Choose the specific permissions from the available options. 7. Confirm the selections. 8. Save the changes."
"How can I grant permission to view the GL Quick Journal Entry form?","To grant permission to view the GL Quick Journal Entry form, follow these steps: 1. Navigate to the security or permissions management section. 2. Select the user whose permissions need to be updated. 3. Add a new permission entry. 4. Choose the 'GL Quick Journal Entry' form from the list. 5. Select the appropriate level of access (e.g., full access). 6. Save the changes."
"What are the steps to update the address and logo in the application?","Navigate to Maintain Module. Select Customers Information. Input the Default Client ID (000). In the address column, input the new address, ensuring it's distributed across the two address fields provided. Toggle to Signature Verification. Click on Load Picture. Select the desired logo picture from your files. Click Save to update the logo. Return to Customer Information. Click Save to ensure all updates are applied."
"I want to give permission to a group.","Navigate to Security. Click on Assign Permission. Call up the group. Click on Add. Search for the form and select Full Access. Click on Ok. Click on Save."
"How can I add additional ledgers in the Cash Payment module?","Login to the Application. Navigate to Cash Payment. Go to Receipt Params. Search for the Ledger. Click on Add. Click on Save. Repeat the process for all the ledgers you want to add."
"Can you describe the steps to perform an account search?","Click on the Financial module. Click on Account Search (the last menu). Enter a description that contains part of the account name and/or any other key parameters you know about the account to streamline your search."
"How do I add or remove a paying account?","Click on the Financial module. Click on the Cash menu. Click on Parameters - Cash receipt.  To remove the existing paying account information: 1. Click on the existing record/account. 2. Click on Delete.  To add or map a new paying account information: 1. Click on the drop-down arrow beside the Customer Master A/C. 2. Select your customer master account. 3. Map your preferred bank to it by clicking on the drop-down arrow at the bottom of 'Receiving Account Master/Sub:' 4. Search for the bank, click on OK. 5. Click on Add. 6. Click on Save."
"Format for reversing posted transactions.","Navigate to the Financial Module. Select the Payable Menu. Click on Reverse. Call up the transaction and reverse it.  Navigate to the Financial Module. Select the GL Menu. Click on GL Journal Entries. Call up the transaction and reverse it."
"Format for creating sub-accounts under a master account.","Click on the 'Financial' Module. Click on the 'Accounts Setup' menu. Click on the 'New Account Setup' form. Enter your account # (this is the account ID of the master account you wish to create the sub-account under), tap out, then click 'Load Sub Accounts'. OR expand the 'Filter & Export' section to search for the master account. Select the Master Account, the Account# box will be populated, then click 'Load Sub Accounts'. In the sub-account form, click on New, then fill in the necessary information for the new Sub Account. Click on Save when done."
"Procedure to follow for accessing a report.","Navigate to the Report Module. Click on the Report Writer Menu. Select the appropriate report category. Choose the desired report. Launch the report. Click on Search to filter results using the relevant ID."
"What steps should I follow to view a customer's account that is set to dormant?","Navigate to the Financials Module. Click on 'New Account Menu'. Click on 'Acct. Dormancy Form'. Do a Find and click on 'Search'. Spool result to Excel."
"What are the steps to check or change the accounts mapped to bond investment types or other investment types?","1. First, launch the application and go to the 'Asset Mgmt' module. 2. Click on 'Asset Mgmt' to enter the module. 3. Next, open the 'Asset Mgmt-Investment Configuration' form. 4. In this form, click on the 'Find' button to search for the specific investment type you are interested in. Once you find it, select it and click 'OK'. 5. The configuration form will now show the details. Expand the section that displays account details to view the accounts mapped to this investment type. 6. If you need to make corrections or updates, either enter the new account ID directly or use the green arrow next to each account to search for and select the appropriate account. 7. You can also explore other sections within the configuration form to see additional accounts and settings if needed. 8. Finally, make sure to click 'Save' to apply your changes."
"How do I reset the server password using the application?","To reset the password using the application, follow these steps: 1. Launch the attached HostAdmin App. 2. Click on Edit and then click on More Options. 3. Click on Use Different Account. 4. Input the credentials as provided. 5. Click 'Connect' and then click 'Yes' to open the User Account Management Panel. 6. Navigate to the 'Reset Password' Tab. 7. Search for the Login ID using the dropdown list. 8. Enter the new password. 9. Confirm the new password by entering it again in the 'Confirm Password' Field. 10. Click 'Reset.'"
"Describe the process to create a GL Aggregation.","Go to Financials. Navigate to GL Aggregation. Select Creation. Fill in the necessary details. Save the aggregation."
"A customer needs to import the NASD price list into the system. What are the steps?","1. Navigate to Stockbrokerage. 2. Click on Stock Quote. 3. Select the date and click on NASD Price Import. 4. Click on Continue, then save."
"How do I merge two CSCS accounts and remove records in the system?","The merging was performed with the steps below: 1. Click on Stockbrokerage Module >> Merge/Rename Portfolio Menu. 2. Input the customer ID in the Merge From and tab out, do the same for Merge To using the same customer ID. 3. Click on the 3 radio buttons beside the Merge CSCS Accounts box to select the CSCS Account Number to be retained. 4. Check the Merge CSCS Account Box and Click Save. The CSCS record was removed with the following steps: 1. Click on Maintain Module >> Customers. 2. Input the Customer ID and tab out. 3. Click on CSCS STOCK A/C#. 4. Select the CSCS record to be removed. 5. Click on Delete. The removal on certificate in hand was done following the steps below: 1. Identify the number of units to be removed. 2. The balance is in negative, so addition was added to nil the negative off. Therefore, the current price was used. 3. Click on Stockbrokerage Module >> Trade/OMS Menu >> Certificate - In - Hand. 4. Input the CUST ID and tab out, click on New. 5. Input the unit, price, and comment. 6. Save."
"A customer has reported an issue with uploading the Custodian Trade file. How can this issue resolved?","To resolve the issue with the Custodian Trade file, the following actions were taken: 1. The trade file was adjusted by shifting the first CSCS number backward and closing the space between the first and second CSCS numbers. Special attention was given to certain lines that did not require adjustment to prevent distortion of the file. 2. After making the necessary adjustments, the trade file was vetted and uploaded. Follow these steps to upload the file via the application:    a. Click on 'Stock Brokerage Module'.    b. Click on 'Trade/OMS Menu'.    c. Click on 'Trade Upload'.    d. Select the file and upload it. The application successfully processed the file."
"Please provide detailed instructions on how to integrate CSCS account creation for clients into our InfoWARE system.","To integrate CSCS account creation for clients into your InfoWARE system, follow these steps: 1. Navigate to the 'Maintain Module'. 2. Click on 'CSCS KYC'. 3. Select 'Account Export to CSCS'. 4. Click on 'Reload' and choose the account for which you want to create a CSCS number, then submit. 5. Next, select 'Account Import from CSCS'. 6. Click on 'Reload' and 'Import'. The CSCS number for the selected accounts will be imported into the system."
"Please detail the process for creating a commission group.","To create a commission group, follow these steps: 1. Navigate to 'Stock Brokerage' > 'Commission Menu' > 'Grad Commission Rate'. 2. Click on 'Add Group', fill in the necessary information, and save. 3. Call up the saved commission group and click on 'New'. 4. Enter 'Up To' under the ROWNAME column and '1.0' under the Consideration column. 5. Finally, fill in the buy and sell rates, then save."
